i94port,portname,country,addr
PHU,PORTHURON,UNITED STATES,MI
RBT,ROBERTSLANDING,UNITED STATES,MI
SAG,SAGINAW,UNITED STATES,MI
SSM,SAULTSTEMARIE,UNITED STATES,MI
SCL,STCLAIR,UNITED STATES,MI
YIP,WILLOWRUN-YPSILANTI,UNITED STATES,MI
BAU,BAUDETTE,UNITED STATES,MN
CAR,CARIBOUMUNICIPALAIRPORT,UNITED STATES,MN
GTF,CollapsedintoINT,UNITED STATES,MN
INL,CollapsedintoINT,UNITED STATES,MN
CRA,CRANELAKE,UNITED STATES,MN
MIC,CRYSTALMUNICIPALAIRPORT,UNITED STATES,MN
DUL,DULUTH,UNITED STATES,MN
ELY,ELY,UNITED STATES,MN
GPM,GRANDPORTAGE,UNITED STATES,MN
SVC,GRANTCOUNTY-SILVERCITY,UNITED STATES,MN
INT,INTLFALLS,UNITED STATES,MN
LAN,LANCASTER,UNITED STATES,MN
MSP,MINN/STPAUL,UNITED STATES,MN
LIN,NORTHERNSVCCENTER,UNITED STATES,MN
NOY,NOYES,UNITED STATES,MN
PIN,PINECREEK,UNITED STATES,MN
48Y,PINECREEKBORDERARPT,UNITED STATES,MN
RAN,RAINER,UNITED STATES,MN
RST,ROCHESTER,UNITED STATES,MN
ROS,ROSEAU,UNITED STATES,MN
SPM,STPAUL,UNITED STATES,MN
WSB,WARROAD INTL SPB,UNITED STATES,MN
WAR,WARROAD,UNITED STATES,MN
KAN,KANSASCITY,UNITED STATES,MO
SGF,SPRINGFIELD-BRANSON,UNITED STATES,MO
STL,STLOUIS,UNITED STATES,MO
WHI,WHITETAIL,UNITED STATES,MT
WHM,WILDHORSE,UNITED STATES,MT
GPT,BILOXIREGIONAL,UNITED STATES,MS
GTR,GOLDENTRIANGLELOWNDESCNTY,UNITED STATES,MS
GUL,GULFPORT,UNITED STATES,MS
PAS,PASCAGOULA,UNITED STATES,MS
JAN,THOMPSONFIELD-JACKSON,UNITED STATES,MS
BIL,BILLINGS,UNITED STATES,MT
BTM,BUTTE,UNITED STATES,MT
CHF,CHIEFMT,UNITED STATES,MT
CTB,CUTBANKMUNICIPAL,UNITED STATES,MT
CUT,CUTBANK,UNITED STATES,MT
DLB,DELBONITA,UNITED STATES,MT
EUR,EUREKA,UNITED STATES,MT
BZN,GALLATINFIELD-BOZEMAN,UNITED STATES,MT
FCA,GLACIERNATIONALPARK,UNITED STATES,MT
GGW,GLASGOW,UNITED STATES,MT
GRE,GREATFALLS,UNITED STATES,MT
HVR,HAVRE,UNITED STATES,MT
HEL,HELENA,UNITED STATES,MT
LWT,LEWISTON,UNITED STATES,MT
MGM,MORGAN,UNITED STATES,MT
OPH,OPHEIM,UNITED STATES,MT
PIE,PIEGAN,UNITED STATES,MT
RAY,RAYMOND,UNITED STATES,MT
ROO,ROOSVILLE,UNITED STATES,MT
SCO,SCOBEY,UNITED STATES,MT
SWE,SWEETGTASS,UNITED STATES,MT
TRL,TRIALCREEK,UNITED STATES,MT
TUR,TURNER,UNITED STATES,MT
WCM,WILLOWCREEK,UNITED STATES,MT
CLT,CHARLOTTE,UNITED STATES,NC
FAY,FAYETTEVILLE,UNITED STATES,NC
MRH,MOREHEADCITY,UNITED STATES,NC
FOP,MORRISFIELDSAAF,UNITED STATES,NC
GSO,PIEDMONTTRIADINTLAIRPORT,UNITED STATES,NC
RDU,RALEIGH/DURHAM,UNITED STATES,NC
SSC,SHAWAFB-SUMTER,UNITED STATES,NC
WIL,WILMINGTON,UNITED STATES,NC
AMB,AMBROSE,UNITED STATES,ND
ANT,ANTLER,UNITED STATES,ND
CRY,CARBURY,UNITED STATES,ND
DNS,DUNSEITH,UNITED STATES,ND
FAR,FARGO,UNITED STATES,ND
FRT,FORTUNA,UNITED STATES,ND
GRF,GRANDFORKS,UNITED STATES,ND
HNN,HANNAH,UNITED STATES,ND
HNS,HANSBORO,UNITED STATES,ND
MAI,MAIDA,UNITED STATES,ND
MND,MINOT,UNITED STATES,ND
NEC,NECHE,UNITED STATES,ND
NOO,NOONAN,UNITED STATES,ND
NRG,NORTHGATE,UNITED STATES,ND
PEM,PEMBINA,UNITED STATES,ND
SAR,SARLES,UNITED STATES,ND
SHR,SHERWOOD,UNITED STATES,ND
SJO,STJOHN,UNITED STATES,ND
WAL,WALHALLA,UNITED STATES,ND
WHO,WESTHOPE,UNITED STATES,ND
WND,WILLISTON,UNITED STATES,ND
OMA,OMAHA,UNITED STATES,NE
LEB,LEBANON,UNITED STATES,NH
MHT,MANCHESTER,UNITED STATES,NH
PNH,PITTSBURG,UNITED STATES,NH
PSM,PORTSMOUTH,UNITED STATES,NH
BYO,BAYONNE,UNITED STATES,NJ
CNJ,CAMDEN,UNITED STATES,NJ
HOB,HOBOKEN,UNITED STATES,NJ
JER,JERSEYCITY,UNITED STATES,NJ
WRI,MCGUIREAFB-WRIGHTSOWN,UNITED STATES,NJ
MMU,MORRISTOWN,UNITED STATES,NJ
NEW,NEWARK/TETERBORO,UNITED STATES,NJ
PER,PERTHAMBOY,UNITED STATES,NJ
ACY,POMONAFIELD-ATLANTICCITY,UNITED STATES,NJ
ALA,ALAMAGORDO,UNITED STATES,NM
ABQ,ALBUQUERQUE,UNITED STATES,NM
ANP,ANTELOPEWELLS,UNITED STATES,NM
CRL,CARLSBAD,UNITED STATES,NM
COL,COLUMBUS,UNITED STATES,NM
CDD,CRANELAKE-STLOUISCNTY,UNITED STATES,NM
DNM,DEMING,UNITED STATES,NM
LAS,LASCRUCES,UNITED STATES,NM
LOB,LORDSBURG,UNITED STATES,NM
RUI,RUIDOSO,UNITED STATES,NM
STR,SANTATERESA,UNITED STATES,NM
RNO,CANNONINTL-RENO/TAHOE,UNITED STATES,NV
